full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
Chayn08/Metasploit-introduction,"My exploration and exercises using Metasploit, covering basics, exploitation, and post-exploitation techniques.",https://github.com/Chayn08/Metasploit-introduction,['metasploit module OR payload'],1,2024-10-20T17:14:55+0000,2,0,,0,[]
rapid7/metasploit-framework,Metasploit Framework,https://github.com/rapid7/metasploit-framework,['metasploit module OR payload'],1,2024-10-15T15:35:58+0000,1053800,33970,Ruby,13942,[]
beefproject/beef,The Browser Exploitation Framework Project,https://github.com/beefproject/beef,['exploit'],1,2024-10-15T19:20:28+0000,23031,9763,JavaScript,2160,[]
buffer/thug,Python low-interaction honeyclient,https://github.com/buffer/thug,['shellcode'],1,2024-10-18T22:42:23+0000,46530,987,Python,202,[]
Gallopsled/pwntools,CTF framework and exploit development library,https://github.com/Gallopsled/pwntools,"['exploit', 'shellcode']",2,2024-10-01T17:37:52+0000,28424,11971,Python,1698,[]
leebaird/discover,"Custom bash scripts used to automate various penetration testing tasks including recon, scanning,  enumeration, and malicious payload creation using Metasploit. For use with Kali Linux.",https://github.com/leebaird/discover,['metasploit module OR payload'],1,2024-10-03T01:13:33+0000,3623,3416,PowerShell,822,[]
electron/rcedit,Command line tool to edit resources of exe,https://github.com/electron/rcedit,['rce'],1,2024-10-01T06:14:21+0000,171,1690,C++,186,[]
electron/node-rcedit,Node module to edit resources of exe,https://github.com/electron/node-rcedit,['rce'],1,2024-10-03T14:23:13+0000,29556,188,JavaScript,36,[]
rapid7/metasploit-payloads,Unified repository for different Metasploit Framework payloads,https://github.com/rapid7/metasploit-payloads,['metasploit module OR payload'],1,2024-10-11T12:18:16+0000,61497,1726,C,668,[]
tobymackenzie/sy-console.symf,"Symfony Console component with dependency injection, config handling, configurable command loading, and other niceties.",https://github.com/tobymackenzie/sy-console.symf,['command injection'],1,2024-10-07T06:01:51+0000,59,0,PHP,0,[]
pwndbg/pwndbg,Exploit Development and Reverse Engineering with GDB Made Easy,https://github.com/pwndbg/pwndbg,['exploit'],1,2024-10-09T10:15:47+0000,16805,7462,Python,878,[]
bcoles/shellcode,None,https://github.com/bcoles/shellcode,['shellcode'],1,2024-10-20T01:14:12+0000,3,1,Assembly,0,[]
codingcore14/JPG-Silent-Exploit-NEW-uu,None,https://github.com/codingcore14/JPG-Silent-Exploit-NEW-uu,['exploit'],1,2024-10-20T00:19:13+0000,2,1,,0,[]
codingcore14/EXCEL-SILENT-XLS-EXPLOIT-CLEAN-uu,None,https://github.com/codingcore14/EXCEL-SILENT-XLS-EXPLOIT-CLEAN-uu,['exploit'],1,2024-10-20T00:18:25+0000,2,1,,0,[]
codingcore14/DOC-SILENT-EXPLOIT-CLEAN-uu,None,https://github.com/codingcore14/DOC-SILENT-EXPLOIT-CLEAN-uu,['exploit'],1,2024-10-20T00:17:29+0000,2,1,,0,[]
codingcore14/PDF-SILENT-EXPLOIT-CLEAN-uu,None,https://github.com/codingcore14/PDF-SILENT-EXPLOIT-CLEAN-uu,['exploit'],1,2024-10-20T00:16:04+0000,2,1,,0,[]
jcstroud79/Web-Application-Exploitation-Lab,Lab Objectives:,https://github.com/jcstroud79/Web-Application-Exploitation-Lab,['exploit'],1,2024-10-20T00:09:02+0000,0,0,,0,[]
