full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
codingcore14/JPG-Silent-Exploit-NEW-ne,None,https://github.com/codingcore14/JPG-Silent-Exploit-NEW-ne,['exploit'],1,2025-01-22T22:51:29+0000,2,1,,0,[]
JonathanSalwan/ROPgadget,"This tool lets you search your gadgets on your binaries to facilitate your ROP exploitation. ROPgadget supports ELF, PE and Mach-O format on x86, x64, ARM, ARM64, PowerPC, SPARC, MIPS, RISC-V 64, and RISC-V Compressed architectures. ",https://github.com/JonathanSalwan/ROPgadget,['exploit'],1,2025-01-22T18:05:22+0000,50824,4020,Python,560,[]
beefproject/beef,The Browser Exploitation Framework Project,https://github.com/beefproject/beef,['exploit'],1,2025-01-22T13:51:34+0000,24770,10003,JavaScript,2219,[]
buffer/thug,Python low-interaction honeyclient,https://github.com/buffer/thug,['shellcode'],1,2025-01-22T09:10:53+0000,46343,1002,Python,203,[]
leebaird/discover,"Custom bash scripts used to automate various penetration testing tasks including recon, scanning,  enumeration, and malicious payload creation using Metasploit. For use with Kali Linux.",https://github.com/leebaird/discover,['metasploit module OR payload'],1,2025-01-22T23:30:23+0000,3786,3478,Shell,827,[]
Script-No-Key/Your-Bizarre-Adventure,Your Bizarre Adventure Script Hack No Key Pastebin 2025 Keyless OP GUI Menu No Linkvertise Bypass Anti-Ban Undetected Byfron Bypassing Exploit Cheat Injector Executor Roblox PC Mobile Autofarm How to Download Macro Bot Afk Farm Admin Commands Fly Speedhack,https://github.com/Script-No-Key/Your-Bizarre-Adventure,['exploit'],1,2025-01-22T20:08:37+0000,2,0,,0,[]
Script-No-Key/Spindown,Spindown Script Hack No Key Pastebin 2025 Keyless OP GUI Menu No Linkvertise Bypass Anti-Ban Undetected Byfron Bypassing Exploit Cheat Injector Executor Roblox PC Mobile Autofarm How to Download Macro Bot Afk Farm Admin Commands Fly Speedhack ESP Silent Ai,https://github.com/Script-No-Key/Spindown,['exploit'],1,2025-01-22T20:05:41+0000,2,0,,0,[]
Script-No-Key/Infection-Gunfight,Infection Gunfight Script Hack No Key Pastebin 2025 Keyless OP GUI Menu No Linkvertise Bypass Anti-Ban Undetected Byfron Bypassing Exploit Cheat Injector Executor Roblox PC Mobile Autofarm How to Download Macro Bot Afk Farm Admin Commands Fly Speedhack ESP,https://github.com/Script-No-Key/Infection-Gunfight,['exploit'],1,2025-01-22T20:05:05+0000,2,0,,0,[]
Script-No-Key/Asylum-Life,Asylum Life Script Hack No Key Pastebin 2025 Keyless OP GUI Menu No Linkvertise Bypass Anti-Ban Undetected Byfron Bypassing Exploit Cheat Injector Executor Roblox PC Mobile Autofarm How to Download Macro Bot Afk Farm Admin Commands Fly Speedhack ESP Silent,https://github.com/Script-No-Key/Asylum-Life,['exploit'],1,2025-01-22T20:03:56+0000,2,0,,0,[]
Script-No-Key/Murderers-VS-Sheriffs,Murderers VS Sheriffs Script Hack No Key Pastebin 2025 Keyless OP GUI Menu No Linkvertise Bypass Anti-Ban Undetected Byfron Bypassing Exploit Cheat Injector Executor Roblox PC Mobile Autofarm How to Download Macro Bot Afk Farm Admin Commands Fly Speedhack ,https://github.com/Script-No-Key/Murderers-VS-Sheriffs,['exploit'],1,2025-01-22T20:02:39+0000,2,0,,0,[]
Script-No-Key/DUEL-Warriors,DUEL Warriors Script Hack No Key Pastebin 2025 Keyless OP GUI Menu No Linkvertise Bypass Anti-Ban Undetected Byfron Bypassing Exploit Cheat Injector Executor Roblox PC Mobile Autofarm How to Download Macro Bot Afk Farm Admin Commands Fly Speedhack ESP Sile,https://github.com/Script-No-Key/DUEL-Warriors,['exploit'],1,2025-01-22T20:01:57+0000,2,0,,0,[]
Script-No-Key/Soul-Merge-Tycoon,Soul Merge Tycoon Script Hack No Key Pastebin 2025 Keyless OP GUI Menu No Linkvertise Bypass Anti-Ban Undetected Byfron Bypassing Exploit Cheat Injector Executor Roblox PC Mobile Autofarm How to Download Macro Bot Afk Farm Admin Commands Fly Speedhack ESP ,https://github.com/Script-No-Key/Soul-Merge-Tycoon,['exploit'],1,2025-01-22T20:01:03+0000,2,0,,0,[]
