full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
ronin-rb/ronin,"Ronin is a Ruby platform for vulnerability research and exploit development. Ronin allows for the rapid development and distribution of code, Exploits or Payloads, Scanners, etc, via Repositories.",https://github.com/ronin-rb/ronin,['exploit'],1,2022-01-23T07:43:46+0000,8115,267,Ruby,27,[]
chotuyadav022/billionwaves.com,"Cyber security is the application of technologies, processes and controls to protect systems, networks, programs, devices and data from cyber attacks. It aims to reduce the risk of cyber attacks and protect against the unauthorised exploitation of systems,",https://github.com/chotuyadav022/billionwaves.com,['exploit'],1,2022-04-20T10:17:01+0000,0,0,,0,[]
joanbarrera/exploits,None,https://github.com/joanbarrera/exploits,['exploit'],1,2022-04-20T11:37:34+0000,0,0,,0,[]
jmiettinen/CVE-2022-21449-vuln-test,CVE-2022-21449 Vulnerability tester,https://github.com/jmiettinen/CVE-2022-21449-vuln-test,['cve-2 OR cve_2'],1,2022-04-20T11:48:10+0000,59,0,Java,0,['CVE-2022-21449']
Aline234/Livro-Rceitas,Meu livro de receitas ,https://github.com/Aline234/Livro-Rceitas,['rce'],1,2022-04-20T12:19:52+0000,0,0,,0,[]
Trinadh465/frameworks_base_AOSP10_r33_CVE-2021-0433,None,https://github.com/Trinadh465/frameworks_base_AOSP10_r33_CVE-2021-0433,['cve-2 OR cve_2'],1,2022-04-20T12:15:32+0000,0,0,Java,0,['CVE-2021-0433']
0xBrAinsTorM/CVE-2021-36981,None,https://github.com/0xBrAinsTorM/CVE-2021-36981,['cve-2 OR cve_2'],1,2022-04-20T12:31:03+0000,0,0,Python,0,['CVE-2021-36981']
pazhanivel07/hardware_interfaces-A10_r33_CVE-2021-0510,None,https://github.com/pazhanivel07/hardware_interfaces-A10_r33_CVE-2021-0510,['cve-2 OR cve_2'],1,2022-04-20T12:33:16+0000,0,0,C++,0,['CVE-2021-0510']
feifei-cv/RCE-anchor-free,init,https://github.com/feifei-cv/RCE-anchor-free,['rce'],1,2022-04-20T12:54:27+0000,0,0,Python,0,[]
jmarcoscosta/c_exploits,Software security hands-on learning,https://github.com/jmarcoscosta/c_exploits,['exploit'],1,2022-04-20T13:50:53+0000,0,0,C,0,[]
AeX03/eLys,"An open-source post-exploitation framework, researchers and developers. ",https://github.com/AeX03/eLys,['exploit'],1,2022-04-20T13:49:32+0000,133,1,,0,[]
pazhanivel07/system_bt_A10-r33_CVE-2020-0176,None,https://github.com/pazhanivel07/system_bt_A10-r33_CVE-2020-0176,['cve-2 OR cve_2'],1,2022-04-20T13:20:20+0000,0,0,C++,0,['CVE-2020-0176']
Sajmonpcgamer/BootscreenCommandPromptExploit,It is recommended to also use Context Menu Editor with this,https://github.com/Sajmonpcgamer/BootscreenCommandPromptExploit,['exploit'],1,2022-04-20T13:49:44+0000,0,0,Batchfile,0,[]
