full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
offensive-security/exploitdb-bin-sploits,Exploit Database binary exploits located in the /sploits directory,https://github.com/offensive-security/exploitdb-bin-sploits,"['exploit', 'sploit']",2,2022-01-14T00:07:09+0000,1534773,1550,Python,529,[]
magicono43/DFU-Mod_Banking-Overhaul,"Overhauls the banking system, making it less exploitable, as well as more detailed and interesting to use.",https://github.com/magicono43/DFU-Mod_Banking-Overhaul,['exploit'],1,2022-01-14T03:17:12+0000,7,0,C#,0,[]
cvlvxi/log4rust,expect exploits,https://github.com/cvlvxi/log4rust,['exploit'],1,2022-01-14T04:33:31+0000,0,0,Rust,0,[]
kmhacks/RedSploit,None,https://github.com/kmhacks/RedSploit,['sploit'],1,2022-01-14T04:19:21+0000,0,0,,0,[]
PainNonsense/PainExploit.github.io,None,https://github.com/PainNonsense/PainExploit.github.io,['exploit'],1,2022-01-14T03:35:18+0000,0,0,HTML,0,[]
E-Better/RBXLua-Monaco-Text-Editor,A Simple Text Editor For Roblox Exploits,https://github.com/E-Better/RBXLua-Monaco-Text-Editor,['exploit'],1,2022-01-14T03:23:47+0000,0,0,HTML,0,[]
NodeMixaholic/all-roblox-exploits-are-malware,100% proof,https://github.com/NodeMixaholic/all-roblox-exploits-are-malware,['exploit'],1,2022-01-14T03:35:36+0000,0,0,,0,[]
Not-Nullz/Azure-Ware,Upcoming Roblox Exploit (Mac/Windows),https://github.com/Not-Nullz/Azure-Ware,['exploit'],1,2022-01-14T00:56:57+0000,4,0,,0,[]
krnkl60/krnl,krnl roblox exploit,https://github.com/krnkl60/krnl,['exploit'],1,2022-01-14T00:05:51+0000,0,0,,0,[]
antx-code/CVE-2021-26084,"POC of CVE-2021-26084, which is Atlassian Confluence Server OGNL(Object-Graph Navigation Language) Pre-Auth RCE Injection Vulneralibity.",https://github.com/antx-code/CVE-2021-26084,"['cve poc', 'cve-2 OR cve_2', 'rce', 'rce poc']",4,2022-01-14T04:21:27+0000,2,0,Python,0,['CVE-2021-26084']
Bubbadudez/Crosshair-X-Ultimate,"Crosshair X Ultimate Is A Small, Simple Lightweight, And Adjustable Crosshair Overlay For Windows!",https://github.com/Bubbadudez/Crosshair-X-Ultimate,['exploit'],1,2022-01-14T01:22:20+0000,294,1,Batchfile,0,[]
tingzeng1208/demo-rce-frontend,None,https://github.com/tingzeng1208/demo-rce-frontend,['rce'],1,2022-01-14T02:13:02+0000,1126,0,TypeScript,0,[]
hahwul/mad-metasploit,"Metasploit custom modules, plugins, resource script and.. awesome metasploit collection",https://github.com/hahwul/mad-metasploit,['metasploit module OR payload'],1,2022-01-14T00:16:59+0000,218885,267,Ruby,78,[]
KameleonReloaded/900V4B,PS4 9.00 Firmware Exploit Host,https://github.com/KameleonReloaded/900V4B,['exploit'],1,2022-01-14T00:20:24+0000,2479,10,JavaScript,10,[]
HeiTang/Zrss,RSS feeds for HITCON ZeroDay’s vulnerability list,https://github.com/HeiTang/Zrss,['zeroday'],1,2022-01-14T01:15:50+0000,29339,2,Python,0,[]
ycdxsb/PocOrExp_in_Github,聚合Github上已有的Poc或者Exp，CVE信息来自CVE官网。Auto Collect Poc Or Exp from Github by CVE ID.,https://github.com/ycdxsb/PocOrExp_in_Github,"['cve poc', 'exploit']",2,2022-01-14T00:21:15+0000,100927,282,Python,87,[]
tencentcloud-sdk-php/rce,None,https://github.com/tencentcloud-sdk-php/rce,['rce'],1,2022-01-14T01:03:19+0000,105,0,PHP,0,[]
XenoAmess/metasploit-java-external-module,java external module for metasploit framework.,https://github.com/XenoAmess/metasploit-java-external-module,['metasploit module OR payload'],1,2022-01-14T02:09:44+0000,7028,1,Java,0,[]
tyjiangU/fido,"Code for the paper ""Exploiting Definitions for Frame Identification""",https://github.com/tyjiangU/fido,['exploit'],1,2022-01-14T04:30:02+0000,64,0,Python,0,[]
Patrowl/PatrowlHearsData,"Open-Source Vulnerability Intelligence Center - Unified source of vulnerability, exploit and threat Intelligence feeds",https://github.com/Patrowl/PatrowlHearsData,['exploit'],1,2022-01-14T00:04:21+0000,451965,43,,21,[]
nomi-sec/NVD-Exploit-List-Ja,🔍NVD exploit & JVN(Japan Vulnerability Notes) easy description,https://github.com/nomi-sec/NVD-Exploit-List-Ja,['exploit'],1,2022-01-14T00:46:13+0000,20304,25,,17,[]
hktalent/exploit-poc,https://exploit-poc.com,https://github.com/hktalent/exploit-poc,['exploit'],1,2022-01-14T02:00:05+0000,5166,2,,1,[]
m1keya/Windows-Shellcode,Some Shellcode ,https://github.com/m1keya/Windows-Shellcode,['shellcode'],1,2022-01-14T04:38:11+0000,0,0,,0,[]
