full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
rapid7/metasploit-framework,Metasploit Framework,https://github.com/rapid7/metasploit-framework,['metasploit module OR payload'],1,2022-03-22T00:12:27+0000,704080,26681,Ruby,12065,[]
blindedofficial/Fortnite-Exploits,Fortnite external or internal exploits,https://github.com/blindedofficial/Fortnite-Exploits,['exploit'],1,2022-03-22T00:23:44+0000,1,0,,0,[]
tremwil/ds3-nrssr-rce,Documentation and proof of concept code for CVE-2022-24125 and CVE-2022-24126.,https://github.com/tremwil/ds3-nrssr-rce,"['exploit', 'rce']",2,2022-03-22T00:56:07+0000,62,20,C++,1,"['CVE-2022-24125', 'CVE-2022-24126']"
trickest/cve,Gather and update all available and newest CVEs with their PoC.,https://github.com/trickest/cve,"['cve poc', 'exploit', 'vulnerability poc']",3,2022-03-22T05:04:00+0000,77923,2508,,302,[]
TheonlyIcebear/Discord-Image-Logger,A exploit I found in discord,https://github.com/TheonlyIcebear/Discord-Image-Logger,['exploit'],1,2022-03-22T04:56:45+0000,34,29,Python,16,[]
0bfxgh0st/lfisuite,Local File Inclusion scanner/enumerator and rce.,https://github.com/0bfxgh0st/lfisuite,['rce'],1,2022-03-22T00:40:24+0000,3849,0,Python,0,[]
zan8in/afrog,Fast and customisable vulnerability scanner based on simple YAML based CEL-GO.,https://github.com/zan8in/afrog,['vulnerability poc'],1,2022-03-22T00:37:58+0000,1194,5,Go,0,[]
vlongle/Imperfecto,"Python library of imperfect information games, and self-play and exploitative algorithms",https://github.com/vlongle/Imperfecto,['exploit'],1,2022-03-22T05:34:05+0000,14921,3,Python,0,[]
Rainbow503/PicGo,Some Pictures By Exploited in the daily,https://github.com/Rainbow503/PicGo,['exploit'],1,2022-03-22T05:35:18+0000,16238,0,,0,[]
Dig2/chain-exploit,Vulnerabilities in some blockchain projects and there exploits,https://github.com/Dig2/chain-exploit,['exploit'],1,2022-03-22T02:58:42+0000,42,5,Solidity,1,[]
offensive-security/exploitdb,The official Exploit Database repository,https://github.com/offensive-security/exploitdb,['exploit'],1,2022-03-22T05:10:03+0000,235700,6980,C,1890,[]
nim-nix-pkgs/rcedit,Automatic nix flake of rcedit,https://github.com/nim-nix-pkgs/rcedit,['rce'],1,2022-03-22T04:24:12+0000,10,0,Nix,0,[]
zhangdapeng520/zdppy_metasploit,使用Python操作metasploit,https://github.com/zhangdapeng520/zdppy_metasploit,['metasploit module OR payload'],1,2022-03-22T06:38:16+0000,68,0,Python,0,[]
SivaPriyaRanganatha/CVE-2020-6418,None,https://github.com/SivaPriyaRanganatha/CVE-2020-6418,['cve-2 OR cve_2'],1,2022-03-22T02:45:33+0000,0,0,,0,['CVE-2020-6418']
HerculesRD/exFinder,Interactive exploit finder with ExploitAlert,https://github.com/HerculesRD/exFinder,['exploit'],1,2022-03-22T00:17:45+0000,0,0,Shell,0,[]
