full_name,description,html_url,matched_list,matched_count,pushed_at,size,stargazers_count,language,forks_count,vul_ids
hahwul/mad-metasploit,"Metasploit custom modules, plugins, resource script and.. awesome metasploit collection",https://github.com/hahwul/mad-metasploit,['metasploit module OR payload'],1,2022-04-10T00:22:02+0000,268154,299,Ruby,86,[]
Patrowl/PatrowlHearsData,"Open-Source Vulnerability Intelligence Center - Unified source of vulnerability, exploit and threat Intelligence feeds",https://github.com/Patrowl/PatrowlHearsData,['exploit'],1,2022-04-10T00:03:47+0000,476659,47,,20,[]
binarytrails/prober,Pentester's toolbox,https://github.com/binarytrails/prober,['exploit'],1,2022-04-10T00:32:53+0000,6022,5,Go,2,[]
ycdxsb/PocOrExp_in_Github,聚合Github上已有的Poc或者Exp，CVE信息来自CVE官网。Auto Collect Poc Or Exp from Github by CVE ID.,https://github.com/ycdxsb/PocOrExp_in_Github,"['cve poc', 'exploit']",2,2022-04-10T00:12:59+0000,179184,357,Python,103,[]
Fish-Sticks/headhunter,A simple Roblox exploit written in C++,https://github.com/Fish-Sticks/headhunter,['exploit'],1,2022-04-10T00:28:48+0000,4146,21,C++,12,[]
hippolippo/RCE-Bingo,A project to generate bingo boards for filling out while watching Real Civil Engineer videos,https://github.com/hippolippo/RCE-Bingo,['rce'],1,2022-04-10T00:53:56+0000,80965,1,Python,0,[]
Dawood2201/SystemeExploitation-TP3,TP3 SystemeExploitation Script PWSH,https://github.com/Dawood2201/SystemeExploitation-TP3,['exploit'],1,2022-04-10T00:01:11+0000,3,0,PowerShell,0,[]
yerodin/RCE-Exfiltration-Framwework,Ever found and RCE but just can't seem to get a shell? Well we do have RCE right?? Let's Exfiltrate!!,https://github.com/yerodin/RCE-Exfiltration-Framwework,['rce'],1,2022-04-10T00:13:26+0000,8,1,Python,0,[]
AguacateVelarde/exploit-nodejs,Exploiting all features and lab with nodejs,https://github.com/AguacateVelarde/exploit-nodejs,['exploit'],1,2022-04-10T00:16:32+0000,4,0,JavaScript,0,[]
4sploit/4sploit.github.io,nan,https://github.com/4sploit/4sploit.github.io,['sploit'],1,2022-04-10T00:15:24+0000,0,0,TypeScript,0,[]
af001/CVE-REPO,CVE POC Repository,https://github.com/af001/CVE-REPO,['cve poc'],1,2022-04-10T00:09:30+0000,0,0,Python,0,[]
comradekgb/Fedora-Exploit,None,https://github.com/comradekgb/Fedora-Exploit,['exploit'],1,2022-04-10T00:36:45+0000,0,0,,0,[]
f01965/CVE-2019-8014,nan,https://github.com/f01965/CVE-2019-8014,['cve-2 OR cve_2'],1,2022-04-10T00:53:46+0000,0,0,,0,['CVE-2019-8014']
